"Town(s)","College(s)","Town Link(s)","College Link(s)"
"Nicosia","American University Of Cyprus","","https://en.wikipedia.org/wiki/American_University_of_Cyprus"
"Managua","American University Of Health Sciences","",""
"Baghdad","American University Of Iraq, Baghdad","","https://en.wikipedia.org/wiki/American_University_of_Iraq_-_Baghdad"
"Sulaimani","American University Of Iraq, Sulaimani","","https://en.wikipedia.org/wiki/American_University_of_Iraq,_Sulaimani"
"Duhok","American University Of Kurdistan, Duhok","","https://en.wikipedia.org/wiki/American_University_of_Kurdistan_-_Duhok"
"Kuwait City","American University Of Kuwait","","https://en.wikipedia.org/wiki/American_University_of_Kuwait"
"Madaba","American University Of Madaba","","https://en.wikipedia.org/wiki/American_University_of_Madaba"
"Paris","American University Of Paris","","https://en.wikipedia.org/wiki/American_University_of_Paris"
"Phnom Penh","American University Of Phnom Penh","","https://en.wikipedia.org/wiki/American_University_of_Phnom_Penh"
"Ras al-Khaimah","American University Of Ras Al Khaimah","","https://en.wikipedia.org/w/index.php?title=American_University_of_Ras_Al_Khaimah_(AURAK)&action=edit&redlink=1"
"Sharjah","American University Of Sharjah","","https://en.wikipedia.org/wiki/American_University_of_Sharjah"
"Managua","American University Universidad Americana","",""
"Americus","Americus Female College","",""
"16","Amherst","","https://en.wikipedia.org/wiki/Amherst,_Massachusetts"
"Amherst","Amherst College","https://en.wikipedia.org/wiki/Amherst,_Massachusetts","https://en.wikipedia.org/wiki/Amherst_College"
"Montgomery","Amridge University","","https://en.wikipedia.org/wiki/Amridge_University"
"Elkhart","Anabaptist Mennonite Biblical Seminary","","https://en.wikipedia.org/wiki/Anabaptist_Mennonite_Biblical_Seminary"
"Anaheim","Anaheim University","","https://en.wikipedia.org/wiki/Anaheim_University"
"Santa Teresa","Anamarc College","",""
"Academy of Nutrition and Dietetics","And","",""
"Anderson, South Carolina","Anderson University","","https://en.wikipedia.org/wiki/Anderson_University_(South_Carolina)"
"Evans P. Whitaker, President","Anderson University (South Carolina)","","https://en.wikipedia.org/wiki/Anderson_University_(South_Carolina)"
"Martin B. Copenhaver, President","Andover Newton Theological School","","https://en.wikipedia.org/wiki/Andover_Newton_Theological_School"
"Private","Andrew","","https://en.wikipedia.org/wiki/Andrew_College#Athletics"
"Cuthbert","Andrew College","","https://en.wikipedia.org/wiki/Andrew_College"
"Huntsville","Andrew Female College","","https://en.wikipedia.org/w/index.php?title=Andrew_Female_College_(Texas)&action=edit&redlink=1"
"Berrien Springs","Andrews University","https://en.wikipedia.org/wiki/Berrien_Springs,_Michigan","https://en.wikipedia.org/wiki/Andrews_University"
"Lufkin (Angelina County)","Angelina College","","https://en.wikipedia.org/wiki/Angelina_College"
"San Angelo","Angelo State University","https://en.wikipedia.org/wiki/San_Angelo,_Texas","https://en.wikipedia.org/wiki/Angelo_State_University"
"Prague","Anglo-American University","","https://en.wikipedia.org/wiki/Anglo-American_University"
"Albena Lake-Hodge Comprehensive School Saint James School of Medicine Anguilla campus","Anguilla","","https://en.wikipedia.org/wiki/Education_in_Anguilla"
"Paxton, Massachusetts","Anna Maria College","","https://en.wikipedia.org/wiki/Anna_Maria_College"
"Arnold","Anne Arundel Community College","","https://en.wikipedia.org/wiki/Anne_Arundel_Community_College"
"South Woodstock","Annhurst College","","https://en.wikipedia.org/wiki/Annhurst_College"
"Anoka","Anoka Technical College","","https://en.wikipedia.org/wiki/Anoka_Technical_College"
"Coon Rapids , Cambridge","Anoka-Ramsey Community College","","https://en.wikipedia.org/wiki/Anoka-Ramsey_Community_College"
"Glendale","Anthem Education Group","","https://en.wikipedia.org/wiki/High-Tech_Institute"
"Mayagüez, Puerto Rico","Antillean Adventist University","https://en.wikipedia.org/wiki/Mayag%C3%BCez,_Puerto_Rico","https://en.wikipedia.org/wiki/University_of_Puerto_Rico_at_Mayag%C3%BCez"
"Yellow Springs","Antioch College","https://en.wikipedia.org/wiki/Yellow_Springs,_Ohio","https://en.wikipedia.org/wiki/Antioch_College"
"Multiple locations","Antioch University","","https://en.wikipedia.org/wiki/Antioch_University"
"Yellow Springs","Antioch University Midwest","https://en.wikipedia.org/wiki/Yellow_Springs,_Ohio","https://en.wikipedia.org/wiki/Antioch_College"
"Keene","Antioch University New England","https://en.wikipedia.org/wiki/Keene,_New_Hampshire","https://en.wikipedia.org/wiki/Keene_State_College"
"Linz","Anton Bruckner Private University","https://en.wikipedia.org/wiki/Linz","https://en.wikipedia.org/wiki/Anton_Bruckner_Private_University"
"Springfield township","Antonelli College","","https://en.wikipedia.org/wiki/Antonelli_College"
"American Osteopathic Association","Aoa","","https://en.wikipedia.org/wiki/American_Optometric_Association"
"Aosta","Aosta Valley University","https://en.wikipedia.org/wiki/Aosta","https://en.wikipedia.org/wiki/Aosta_Valley_University"
"American Occupational Therapy Association","Aota","",""
"American Psychological Association","Apa","",""
"American Podiatric Medical Association","Apma","","https://en.wikipedia.org/wiki/American_Podiatric_Medical_Association"
"Mount Hope","Appalachian Bible College","","https://en.wikipedia.org/wiki/Appalachian_Bible_College"
"Oakwood","Appalachian College Of Pharmacy","","https://en.wikipedia.org/wiki/Appalachian_College_of_Pharmacy"
"Grundy","Appalachian School Of Law","","https://en.wikipedia.org/wiki/Appalachian_School_of_Law"
"Boone","Appalachian State University","https://en.wikipedia.org/wiki/Boone,_North_Carolina","https://en.wikipedia.org/wiki/Appalachian_State_University"
"Sitra","Applied Science University (Bahrain)","https://en.wikipedia.org/wiki/Sitra","https://en.wikipedia.org/wiki/Applied_Science_University_(Bahrain)"
"American Physical Therapy Association","Apta","",""
"Grand Rapids, Michigan","Aquinas College","","https://en.wikipedia.org/wiki/Aquinas_College_(Michigan)"
"St. Louis, Missouri","Aquinas Institute Of Theology","","https://en.wikipedia.org/wiki/Aquinas_Institute_of_Theology"
"Manama","Arabian Gulf University","https://en.wikipedia.org/wiki/Manama","https://en.wikipedia.org/wiki/University_of_Bahrain"
"Cheltenham Township","Arcadia University","","https://en.wikipedia.org/wiki/Arcadia_University"
"^","Archived","https://en.wikipedia.org#cite_ref-5","http://www.gmanetwork.com/news/lifestyle/travel/498386/the-university-town-of-leuven-in-belgium/story/"
"Eagan","Argosy University","","https://en.wikipedia.org/wiki/Argosy_University"
"Arlington","Argosy University - Washington D.C. Area","",""
"Diné College Tohono Oʼodham Community College","Arizona","",""
"Glendale","Arizona Christian University","","https://en.wikipedia.org/wiki/Arizona_Christian_University"
"Tempe","Arizona College Of Nursing","",""
"Tempe","Arizona State University","https://en.wikipedia.org/wiki/Tempe,_Arizona","https://en.wikipedia.org/wiki/Arizona_State_University"
"Phoenix","Arizona Summit Law School","","https://en.wikipedia.org/wiki/Arizona_Summit_Law_School"
"Little Rock","Arkansas Baptist College","","https://en.wikipedia.org/wiki/Arkansas_Baptist_College"
"Fort Smith","Arkansas Colleges Of Health Education","","https://en.wikipedia.org/w/index.php?title=Arkansas_Colleges_of_Health_Education&action=edit&redlink=1"
"Blytheville","Arkansas Northeastern College","","https://en.wikipedia.org/wiki/Arkansas_Northeastern_College"
"Jonesboro","Arkansas State University","https://en.wikipedia.org/wiki/Jonesboro,_Arkansas","https://en.wikipedia.org/wiki/Arkansas_State_University"
"Querétaro","Arkansas State University , Campus Querétaro","",""
"West Memphis","Arkansas State University Mid-South","","https://en.wikipedia.org/wiki/Arkansas_State_University_Mid-South"
